Hourly measurement data supplied by UK-air on 16/01/2026,,,,,,,
All Data GMT hour ending,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,
Site Name,,Sheffield Barnsley Road,,Sheffield Devonshire Green,,Sheffield Tinsley,
Latitude,,53.40495,,53.378622,,53.41058,
Longitude,,-1.455815,,-1.478096,,-1.396139,
Site Type,,Urban Traffic,,Urban Background,,Urban Background,
Zone,,Yorkshire & Humberside,,Yorkshire & Humberside,,Yorkshire & Humberside,
Agglomeration,,Sheffield Urban Area,,Sheffield Urban Area,,Sheffield Urban Area,
Local Authority,,Sheffield,,Sheffield,,Sheffield,
Date,Time,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status
01/01/2022,01:00:00,21.8079,V ugm-3,12.97158,V ugm-3,7.16551,V ugm-3
01/01/2022,02:00:00,10.55764,V ugm-3,8.69247,V ugm-3,6.11186,V ugm-3
01/01/2022,03:00:00,15.80181,V ugm-3,12.51541,V ugm-3,4.63655,V ugm-3
01/01/2022,04:00:00,9.8716,V ugm-3,10.07262,V ugm-3,4.3729,V ugm-3
01/01/2022,05:00:00,9.42492,V ugm-3,7.95588,V ugm-3,4.32022,V ugm-3
01/01/2022,06:00:00,7.78269,V ugm-3,5.50969,V ugm-3,3.05591,V ugm-3
01/01/2022,07:00:00,8.32691,V ugm-3,4.21573,V ugm-3,3.37204,V ugm-3
01/01/2022,08:00:00,9.07371,V ugm-3,4.31016,V ugm-3,3.74098,V ugm-3
01/01/2022,09:00:00,12.51941,V ugm-3,4.21474,V ugm-3,3.89889,V ugm-3
01/01/2022,10:00:00,16.58501,V ugm-3,4.5503,V ugm-3,5.58523,V ugm-3
01/01/2022,11:00:00,17.18973,V ugm-3,4.55101,V ugm-3,8.32564,V ugm-3
01/01/2022,12:00:00,14.49834,V ugm-3,4.98256,V ugm-3,10.4337,V ugm-3
01/01/2022,13:00:00,13.50169,V ugm-3,5.74911,V ugm-3,10.75046,V ugm-3
01/01/2022,14:00:00,15.84842,V ugm-3,5.98981,V ugm-3,11.32993,V ugm-3
01/01/2022,15:00:00,15.7172,V ugm-3,5.84667,V ugm-3,11.2243,V ugm-3
01/01/2022,16:00:00,18.43893,V ugm-3,6.42009,V ugm-3,12.06715,V ugm-3
01/01/2022,17:00:00,18.92504,V ugm-3,6.46795,V ugm-3,12.64613,V ugm-3
01/01/2022,18:00:00,17.98363,V ugm-3,5.5574,V ugm-3,15.38477,V ugm-3
01/01/2022,19:00:00,25.25212,V ugm-3,5.27027,V ugm-3,7.37596,V ugm-3
01/01/2022,20:00:00,25.05416,V ugm-3,5.65397,V ugm-3,6.42758,V ugm-3
01/01/2022,21:00:00,32.523,V ugm-3,6.5168,V ugm-3,7.42884,V ugm-3
01/01/2022,22:00:00,33.27763,V ugm-3,6.4678,V ugm-3,7.21781,V ugm-3
01/01/2022,23:00:00,27.26009,V ugm-3,5.41327,V ugm-3,5.95337,V ugm-3
01/01/2022,24:00:00,11.92012,V ugm-3,3.45004,V ugm-3,4.68909,V ugm-3
02/01/2022,01:00:00,6.73363,V ugm-3,2.49136,V ugm-3,3.58168,V ugm-3
02/01/2022,02:00:00,7.39462,V ugm-3,3.95819,V ugm-3,3.51146,V ugm-3
02/01/2022,03:00:00,5.15451,V ugm-3,4.30792,V ugm-3,3.31824,V ugm-3
02/01/2022,04:00:00,6.35662,V ugm-3,4.3559,V ugm-3,3.9503,V ugm-3
02/01/2022,05:00:00,7.70278,V ugm-3,3.68552,V ugm-3,4.10845,V ugm-3
02/01/2022,06:00:00,6.60177,V ugm-3,2.24984,V ugm-3,5.84641,V ugm-3
02/01/2022,07:00:00,23.4205,V ugm-3,3.58912,V ugm-3,7.6375,V ugm-3
02/01/2022,08:00:00,43.3836,V ugm-3,4.97594,V ugm-3,15.01119,V ugm-3
02/01/2022,09:00:00,34.20745,V ugm-3,5.16741,V ugm-3,14.90568,V ugm-3
02/01/2022,10:00:00,38.42698,V ugm-3,2.77673,V ugm-3,7.42744,V ugm-3
02/01/2022,11:00:00,15.96231,V ugm-3,3.73483,V ugm-3,14.64363,V ugm-3
02/01/2022,12:00:00,17.72392,V ugm-3,4.40639,V ugm-3,12.32669,V ugm-3
02/01/2022,13:00:00,21.36909,V ugm-3,5.60394,V ugm-3,14.01183,V ugm-3
02/01/2022,14:00:00,17.87753,V ugm-3,6.03354,V ugm-3,17.85738,V ugm-3
02/01/2022,15:00:00,24.92496,V ugm-3,7.23153,V ugm-3,20.59707,V ugm-3
02/01/2022,16:00:00,37.2273,V ugm-3,8.85662,V ugm-3,22.28239,V ugm-3
02/01/2022,17:00:00,47.40823,V ugm-3,8.66544,V ugm-3,28.07663,V ugm-3
02/01/2022,18:00:00,36.77958,V ugm-3,8.66529,V ugm-3,24.86176,V ugm-3
02/01/2022,19:00:00,45.26135,V ugm-3,11.44128,V ugm-3,18.699,V ugm-3
02/01/2022,20:00:00,42.53317,V ugm-3,10.91351,V ugm-3,13.95835,V ugm-3
02/01/2022,21:00:00,19.52774,V ugm-3,3.97502,V ugm-3,13.32622,V ugm-3
02/01/2022,22:00:00,23.27476,V ugm-3,5.26676,V ugm-3,10.58703,V ugm-3
02/01/2022,23:00:00,18.07467,V ugm-3,4.64451,V ugm-3,11.42977,V ugm-3
02/01/2022,24:00:00,18.67563,V ugm-3,3.78355,V ugm-3,11.2191,V ugm-3
03/01/2022,01:00:00,10.21344,V ugm-3,2.68024,V ugm-3,8.35462,V ugm-3
03/01/2022,02:00:00,6.53639,V ugm-3,4.65645,V ugm-3,7.863,V ugm-3
03/01/2022,03:00:00,4.65886,V ugm-3,2.15344,V ugm-3,6.10791,V ugm-3
03/01/2022,04:00:00,4.46196,V ugm-3,2.05768,V ugm-3,4.84433,V ugm-3
03/01/2022,05:00:00,5.41433,V ugm-3,1.00547,V ugm-3,2.89626,V ugm-3
03/01/2022,06:00:00,8.01853,V ugm-3,1.48354,V ugm-3,5.42391,V ugm-3
03/01/2022,07:00:00,10.62144,V ugm-3,3.58703,V ugm-3,9.89981,V ugm-3
03/01/2022,08:00:00,11.96523,V ugm-3,3.54045,V ugm-3,9.37319,V ugm-3
03/01/2022,09:00:00,9.51226,V ugm-3,4.78281,V ugm-3,13.53287,V ugm-3
03/01/2022,10:00:00,14.81975,V ugm-3,3.77964,V ugm-3,15.37637,V ugm-3
03/01/2022,11:00:00,14.30083,V ugm-3,4.35408,V ugm-3,10.79557,V ugm-3
03/01/2022,12:00:00,14.10716,V ugm-3,4.5951,V ugm-3,13.27094,V ugm-3
03/01/2022,13:00:00,16.64825,V ugm-3,3.63959,V ugm-3,13.85064,V ugm-3
03/01/2022,14:00:00,18.64928,V ugm-3,4.88378,V ugm-3,16.53645,V ugm-3
03/01/2022,15:00:00,25.49596,V ugm-3,6.79835,V ugm-3,20.85457,V ugm-3
03/01/2022,16:00:00,35.99233,V ugm-3,9.90578,V ugm-3,33.80879,V ugm-3
03/01/2022,17:00:00,50.88335,V ugm-3,17.41755,V ugm-3,38.33769,V ugm-3
03/01/2022,18:00:00,46.14605,V ugm-3,10.71941,V ugm-3,35.59833,V ugm-3
03/01/2022,19:00:00,40.5166,V ugm-3,15.78691,V ugm-3,44.02375,V ugm-3
03/01/2022,20:00:00,32.10587,V ugm-3,12.43871,V ugm-3,27.06566,V ugm-3
03/01/2022,21:00:00,51.84571,V ugm-3,No data,V ugm-3,19.85075,V ugm-3
03/01/2022,22:00:00,55.40323,V ugm-3,19.39846,V ugm-3,17.0604,V ugm-3
03/01/2022,23:00:00,70.02643,V ugm-3,22.05847,V ugm-3,22.37837,V ugm-3
03/01/2022,24:00:00,47.29861,V ugm-3,17.9825,V ugm-3,20.74541,V ugm-3
04/01/2022,01:00:00,14.26162,V ugm-3,11.34279,V ugm-3,11.22958,V ugm-3
04/01/2022,02:00:00,8.23865,V ugm-3,8.98449,V ugm-3,13.54625,V ugm-3
04/01/2022,03:00:00,7.48375,V ugm-3,7.40747,V ugm-3,13.00188,V ugm-3
04/01/2022,04:00:00,6.8293,V ugm-3,5.7351,V ugm-3,11.31736,V ugm-3
04/01/2022,05:00:00,6.72214,V ugm-3,3.58428,V ugm-3,13.84401,V ugm-3
04/01/2022,06:00:00,13.16707,V ugm-3,3.68,V ugm-3,24.74018,V ugm-3
04/01/2022,07:00:00,34.15045,V ugm-3,8.07658,V ugm-3,56.27742,V ugm-3
04/01/2022,08:00:00,41.16408,V ugm-3,18.01808,V ugm-3,67.44599,V ugm-3
04/01/2022,09:00:00,49.41159,V ugm-3,22.51355,V ugm-3,61.44352,V ugm-3
04/01/2022,10:00:00,46.77262,V ugm-3,21.70777,V ugm-3,47.59402,V ugm-3
04/01/2022,11:00:00,22.00319,V ugm-3,12.48236,V ugm-3,25.21749,V ugm-3
04/01/2022,12:00:00,19.77227,V ugm-3,10.71586,V ugm-3,20.2168,V ugm-3
04/01/2022,13:00:00,30.1866,V ugm-3,14.49587,V ugm-3,18.95322,V ugm-3
04/01/2022,14:00:00,23.2134,V ugm-3,13.53833,V ugm-3,20.74352,V ugm-3
04/01/2022,15:00:00,21.75507,V ugm-3,11.28877,V ugm-3,21.79641,V ugm-3
04/01/2022,16:00:00,32.91328,V ugm-3,14.1541,V ugm-3,29.21911,V ugm-3
04/01/2022,17:00:00,34.90626,V ugm-3,13.10099,V ugm-3,32.11576,V ugm-3
04/01/2022,18:00:00,24.2132,V ugm-3,14.05615,V ugm-3,28.48151,V ugm-3
04/01/2022,19:00:00,25.26375,V ugm-3,10.75745,V ugm-3,19.53085,V ugm-3
04/01/2022,20:00:00,14.56412,V ugm-3,7.12332,V ugm-3,11.89748,V ugm-3
04/01/2022,21:00:00,12.53881,V ugm-3,6.31071,V ugm-3,10.31806,V ugm-3
04/01/2022,22:00:00,11.01458,V ugm-3,5.83257,V ugm-3,10.47616,V ugm-3
04/01/2022,23:00:00,9.5205,V ugm-3,5.73701,V ugm-3,6.47511,V ugm-3
04/01/2022,24:00:00,6.61473,V ugm-3,3.7289,V ugm-3,2.52688,V ugm-3
05/01/2022,01:00:00,6.82641,V ugm-3,4.14072,V ugm-3,3.15757,V ugm-3
05/01/2022,02:00:00,3.21948,V ugm-3,5.98667,V ugm-3,1.61396,V ugm-3
05/01/2022,03:00:00,2.06169,V ugm-3,3.72737,V ugm-3,1.05267,V ugm-3
05/01/2022,04:00:00,1.8115,V ugm-3,2.86659,V ugm-3,1.63159,V ugm-3
05/01/2022,05:00:00,2.00938,V ugm-3,3.00937,V ugm-3,4.36824,V ugm-3
05/01/2022,06:00:00,5.07508,V ugm-3,3.4876,V ugm-3,10.99969,V ugm-3
05/01/2022,07:00:00,18.6119,V ugm-3,5.01616,V ugm-3,17.63104,V ugm-3
05/01/2022,08:00:00,29.95434,V ugm-3,12.13955,V ugm-3,32.89528,V ugm-3
05/01/2022,09:00:00,59.1866,V ugm-3,16.29624,V ugm-3,44.26549,V ugm-3
05/01/2022,10:00:00,31.26951,V ugm-3,15.34274,V ugm-3,30.15727,V ugm-3
05/01/2022,11:00:00,25.66333,V ugm-3,11.66493,V ugm-3,17.89423,V ugm-3
05/01/2022,12:00:00,20.60078,V ugm-3,9.6117,V ugm-3,17.31529,V ugm-3
05/01/2022,13:00:00,31.3156,V ugm-3,10.0878,V ugm-3,18.31524,V ugm-3
05/01/2022,14:00:00,30.38238,V ugm-3,11.75979,V ugm-3,19.94626,V ugm-3
05/01/2022,15:00:00,45.17949,V ugm-3,14.865,V ugm-3,30.1561,V ugm-3
05/01/2022,16:00:00,53.07895,V ugm-3,16.96402,V ugm-3,35.73378,V ugm-3
05/01/2022,17:00:00,64.99683,V ugm-3,22.17153,V ugm-3,59.21326,V ugm-3
05/01/2022,18:00:00,55.91186,V ugm-3,27.76488,V ugm-3,61.63175,V ugm-3
05/01/2022,19:00:00,53.98564,V ugm-3,32.63497,V ugm-3,69.6443,V ugm-3
05/01/2022,20:00:00,62.29933,V ugm-3,26.81237,V ugm-3,59.10787,V ugm-3
05/01/2022,21:00:00,45.91207,V ugm-3,26.27948,V ugm-3,70.64377,V ugm-3
05/01/2022,22:00:00,50.45204,V ugm-3,40.27563,V ugm-3,66.48371,V ugm-3
05/01/2022,23:00:00,59.26672,V ugm-3,66.20288,V ugm-3,61.16133,V ugm-3
05/01/2022,24:00:00,59.62911,V ugm-3,63.79586,V ugm-3,60.84792,V ugm-3
06/01/2022,01:00:00,31.85222,V ugm-3,60.47316,V ugm-3,60.09728,V ugm-3
06/01/2022,02:00:00,40.92416,V ugm-3,53.198,V ugm-3,47.24131,V ugm-3
06/01/2022,03:00:00,29.85889,V ugm-3,40.8523,V ugm-3,45.44058,V ugm-3
06/01/2022,04:00:00,28.69731,V ugm-3,37.79895,V ugm-3,52.91543,V ugm-3
06/01/2022,05:00:00,42.48308,V ugm-3,35.38937,V ugm-3,45.38194,V ugm-3
06/01/2022,06:00:00,61.65506,V ugm-3,36.52629,V ugm-3,49.70369,V ugm-3
06/01/2022,07:00:00,77.0019,V ugm-3,33.4286,V ugm-3,51.97433,V ugm-3
06/01/2022,08:00:00,72.29106,V ugm-3,26.18039,V ugm-3,49.81994,V ugm-3
06/01/2022,09:00:00,78.31915,V ugm-3,46.8899,V ugm-3,49.65646,V ugm-3
06/01/2022,10:00:00,79.46855,V ugm-3,53.57711,V ugm-3,51.02495,V ugm-3
06/01/2022,11:00:00,81.94571,V ugm-3,37.19577,V ugm-3,53.54649,V ugm-3
06/01/2022,12:00:00,55.82622,V ugm-3,27.566,V ugm-3,46.12077,V ugm-3
06/01/2022,13:00:00,44.69751,V ugm-3,27.04655,V ugm-3,31.43122,V ugm-3
06/01/2022,14:00:00,44.35475,V ugm-3,26.32937,V ugm-3,34.37841,V ugm-3
06/01/2022,15:00:00,40.63796,V ugm-3,22.84234,V ugm-3,28.64108,V ugm-3
06/01/2022,16:00:00,43.29871,V ugm-3,21.11836,V ugm-3,28.74696,V ugm-3
06/01/2022,17:00:00,65.92981,V ugm-3,27.37353,V ugm-3,31.48431,V ugm-3
06/01/2022,18:00:00,47.3159,V ugm-3,22.9322,V ugm-3,32.43159,V ugm-3
06/01/2022,19:00:00,39.47369,V ugm-3,19.9293,V ugm-3,27.84978,V ugm-3
06/01/2022,20:00:00,40.4816,V ugm-3,12.27798,V ugm-3,30.85054,V ugm-3
06/01/2022,21:00:00,34.49217,V ugm-3,12.17945,V ugm-3,26.37478,V ugm-3
06/01/2022,22:00:00,29.91509,V ugm-3,13.28189,V ugm-3,28.11201,V ugm-3
06/01/2022,23:00:00,47.43625,V ugm-3,14.09929,V ugm-3,34.80026,V ugm-3
06/01/2022,24:00:00,27.7857,V ugm-3,5.35149,V ugm-3,13.05617,V ugm-3
07/01/2022,01:00:00,10.22599,V ugm-3,4.45695,V ugm-3,14.32488,V ugm-3
07/01/2022,02:00:00,4.24521,V ugm-3,7.31802,V ugm-3,10.53289,V ugm-3
07/01/2022,03:00:00,4.03731,V ugm-3,4.91707,V ugm-3,11.21756,V ugm-3
07/01/2022,04:00:00,3.94125,V ugm-3,4.29863,V ugm-3,9.90112,V ugm-3
07/01/2022,05:00:00,5.61047,V ugm-3,2.57833,V ugm-3,13.1665,V ugm-3
07/01/2022,06:00:00,9.79383,V ugm-3,3.48443,V ugm-3,26.43814,V ugm-3
07/01/2022,07:00:00,14.1677,V ugm-3,2.53027,V ugm-3,28.54587,V ugm-3
07/01/2022,08:00:00,19.92112,V ugm-3,5.06142,V ugm-3,25.75533,V ugm-3
07/01/2022,09:00:00,37.54452,V ugm-3,7.78903,V ugm-3,29.54689,V ugm-3
07/01/2022,10:00:00,35.57773,V ugm-3,7.54697,V ugm-3,29.02064,V ugm-3
07/01/2022,11:00:00,39.18438,V ugm-3,9.02627,V ugm-3,36.92194,V ugm-3
07/01/2022,12:00:00,27.35534,V ugm-3,11.0314,V ugm-3,30.23236,V ugm-3
07/01/2022,13:00:00,35.95139,V ugm-3,10.93897,V ugm-3,29.8639,V ugm-3
07/01/2022,14:00:00,47.02031,V ugm-3,14.37535,V ugm-3,42.24119,V ugm-3
07/01/2022,15:00:00,58.8686,V ugm-3,17.95589,V ugm-3,48.56208,V ugm-3
07/01/2022,16:00:00,59.30284,V ugm-3,15.1869,V ugm-3,49.0882,V ugm-3
07/01/2022,17:00:00,83.55183,V ugm-3,46.18566,V ugm-3,65.20492,V ugm-3
07/01/2022,18:00:00,107.37323,V ugm-3,49.8104,V ugm-3,65.8895,V ugm-3
07/01/2022,19:00:00,105.72854,V ugm-3,35.62712,V ugm-3,63.5188,V ugm-3
07/01/2022,20:00:00,83.97359,V ugm-3,41.75339,V ugm-3,69.62922,V ugm-3
07/01/2022,21:00:00,81.91262,V ugm-3,38.97352,V ugm-3,64.09836,V ugm-3
07/01/2022,22:00:00,86.75391,V ugm-3,36.77755,V ugm-3,53.93261,V ugm-3
07/01/2022,23:00:00,85.30674,V ugm-3,17.52617,V ugm-3,52.35517,V ugm-3
07/01/2022,24:00:00,81.78426,V ugm-3,38.37087,V ugm-3,59.40936,V ugm-3
08/01/2022,01:00:00,56.12862,V ugm-3,21.70894,V ugm-3,48.18903,V ugm-3
08/01/2022,02:00:00,39.92395,V ugm-3,41.49292,V ugm-3,22.68899,V ugm-3
08/01/2022,03:00:00,34.94553,V ugm-3,21.81785,V ugm-3,13.53977,V ugm-3
08/01/2022,04:00:00,15.66601,V ugm-3,8.26006,V ugm-3,11.01095,V ugm-3
08/01/2022,05:00:00,19.97175,V ugm-3,6.49089,V ugm-3,8.37666,V ugm-3
08/01/2022,06:00:00,12.23222,V ugm-3,4.9139,V ugm-3,11.64319,V ugm-3
08/01/2022,07:00:00,16.14276,V ugm-3,7.15628,V ugm-3,13.17095,V ugm-3
08/01/2022,08:00:00,20.17158,V ugm-3,10.9722,V ugm-3,13.22401,V ugm-3
08/01/2022,09:00:00,21.74779,V ugm-3,11.73658,V ugm-3,15.91099,V ugm-3
08/01/2022,10:00:00,36.77104,V ugm-3,18.55908,V ugm-3,19.12525,V ugm-3
08/01/2022,11:00:00,64.82186,V ugm-3,20.56667,V ugm-3,21.4963,V ugm-3
08/01/2022,12:00:00,56.88114,V ugm-3,13.4597,V ugm-3,33.71921,V ugm-3
08/01/2022,13:00:00,38.83001,V ugm-3,13.69051,V ugm-3,33.77155,V ugm-3
08/01/2022,14:00:00,63.6839,V ugm-3,22.85492,V ugm-3,50.9489,V ugm-3
08/01/2022,15:00:00,45.95532,V ugm-3,15.12952,V ugm-3,40.56915,V ugm-3
08/01/2022,16:00:00,54.91203,V ugm-3,15.17249,V ugm-3,44.83663,V ugm-3
08/01/2022,17:00:00,44.11034,V ugm-3,16.7493,V ugm-3,46.57633,V ugm-3
08/01/2022,18:00:00,31.30439,V ugm-3,13.98385,V ugm-3,39.14611,V ugm-3
08/01/2022,19:00:00,39.96245,V ugm-3,13.69504,V ugm-3,38.40791,V ugm-3
08/01/2022,20:00:00,29.57353,V ugm-3,11.92949,V ugm-3,19.91495,V ugm-3
08/01/2022,21:00:00,36.594,V ugm-3,28.83488,V ugm-3,43.7295,V ugm-3
08/01/2022,22:00:00,25.72564,V ugm-3,9.54497,V ugm-3,32.45356,V ugm-3
08/01/2022,23:00:00,20.3438,V ugm-3,10.26275,V ugm-3,15.17318,V ugm-3
08/01/2022,24:00:00,10.81818,V ugm-3,6.63738,V ugm-3,12.01202,V ugm-3
09/01/2022,01:00:00,18.01783,V ugm-3,6.17255,V ugm-3,9.20568,V ugm-3
09/01/2022,02:00:00,6.21213,V ugm-3,8.90447,V ugm-3,3.72446,V ugm-3
09/01/2022,03:00:00,5.66039,V ugm-3,7.83037,V ugm-3,4.42723,V ugm-3
09/01/2022,04:00:00,5.37275,V ugm-3,3.91472,V ugm-3,5.42851,V ugm-3
09/01/2022,05:00:00,8.50547,V ugm-3,3.57868,V ugm-3,5.05962,V ugm-3
09/01/2022,06:00:00,13.28233,V ugm-3,3.24209,V ugm-3,8.6435,V ugm-3
09/01/2022,07:00:00,22.39476,V ugm-3,5.6736,V ugm-3,16.33829,V ugm-3
09/01/2022,08:00:00,28.34584,V ugm-3,5.62538,V ugm-3,28.67109,V ugm-3
09/01/2022,09:00:00,36.74709,V ugm-3,11.25132,V ugm-3,21.34531,V ugm-3
09/01/2022,10:00:00,38.88406,V ugm-3,10.77848,V ugm-3,28.93532,V ugm-3
09/01/2022,11:00:00,37.88438,V ugm-3,14.16765,V ugm-3,21.87322,V ugm-3
09/01/2022,12:00:00,26.36396,V ugm-3,10.35198,V ugm-3,22.1366,V ugm-3
09/01/2022,13:00:00,31.764,V ugm-3,10.87902,V ugm-3,26.3534,V ugm-3
09/01/2022,14:00:00,39.35025,V ugm-3,14.60049,V ugm-3,25.29931,V ugm-3
09/01/2022,15:00:00,42.03453,V ugm-3,19.60762,V ugm-3,37.15789,V ugm-3
09/01/2022,16:00:00,62.22962,V ugm-3,24.37571,V ugm-3,46.64554,V ugm-3
09/01/2022,17:00:00,75.89722,V ugm-3,32.10983,V ugm-3,53.8663,V ugm-3
09/01/2022,18:00:00,69.42011,V ugm-3,26.08843,V ugm-3,53.28646,V ugm-3
09/01/2022,19:00:00,53.67176,V ugm-3,20.50846,V ugm-3,50.12306,V ugm-3
09/01/2022,20:00:00,58.36111,V ugm-3,23.99183,V ugm-3,48.06739,V ugm-3
09/01/2022,21:00:00,59.34246,V ugm-3,24.90313,V ugm-3,36.52424,V ugm-3
09/01/2022,22:00:00,50.91143,V ugm-3,19.93488,V ugm-3,37.26177,V ugm-3
09/01/2022,23:00:00,51.08321,V ugm-3,18.21918,V ugm-3,27.6168,V ugm-3
09/01/2022,24:00:00,44.0332,V ugm-3,15.64263,V ugm-3,23.40042,V ugm-3
10/01/2022,01:00:00,33.80372,V ugm-3,18.61971,V ugm-3,20.45686,V ugm-3
10/01/2022,02:00:00,19.52777,V ugm-3,18.93444,V ugm-3,17.92617,V ugm-3
10/01/2022,03:00:00,22.56657,V ugm-3,12.48486,V ugm-3,16.71334,V ugm-3
10/01/2022,04:00:00,33.10769,V ugm-3,15.2507,V ugm-3,22.35502,V ugm-3
10/01/2022,05:00:00,31.13242,V ugm-3,21.25044,V ugm-3,36.06372,V ugm-3
10/01/2022,06:00:00,43.16585,V ugm-3,37.12519,V ugm-3,43.86755,V ugm-3
10/01/2022,07:00:00,68.50835,V ugm-3,37.55967,V ugm-3,55.41897,V ugm-3
10/01/2022,08:00:00,77.02012,V ugm-3,31.89663,V ugm-3,63.01592,V ugm-3
10/01/2022,09:00:00,90.73688,V ugm-3,43.56699,V ugm-3,65.8167,V ugm-3
10/01/2022,10:00:00,86.95871,V ugm-3,45.3304,V ugm-3,58.58503,V ugm-3
10/01/2022,11:00:00,74.3334,V ugm-3,38.6357,V ugm-3,50.88286,V ugm-3
10/01/2022,12:00:00,71.33859,V ugm-3,46.09581,V ugm-3,42.07605,V ugm-3
10/01/2022,13:00:00,52.92446,V ugm-3,20.7486,V ugm-3,42.23454,V ugm-3
10/01/2022,14:00:00,41.16865,V ugm-3,25.18316,V ugm-3,35.53765,V ugm-3
10/01/2022,15:00:00,60.36141,V ugm-3,30.47628,V ugm-3,37.48857,V ugm-3
10/01/2022,16:00:00,65.21215,V ugm-3,33.57651,V ugm-3,46.66215,V ugm-3
10/01/2022,17:00:00,61.26939,V ugm-3,36.48545,V ugm-3,48.66634,V ugm-3
10/01/2022,18:00:00,58.48359,V ugm-3,34.66747,V ugm-3,46.13584,V ugm-3
10/01/2022,19:00:00,53.76775,V ugm-3,38.09788,V ugm-3,38.49,V ugm-3
10/01/2022,20:00:00,57.18699,V ugm-3,38.38464,V ugm-3,33.63899,V ugm-3
10/01/2022,21:00:00,53.68259,V ugm-3,29.75542,V ugm-3,32.79489,V ugm-3
10/01/2022,22:00:00,37.50556,V ugm-3,27.4638,V ugm-3,32.6365,V ugm-3
10/01/2022,23:00:00,31.04479,V ugm-3,19.30477,V ugm-3,25.83517,V ugm-3
10/01/2022,24:00:00,38.88977,V ugm-3,16.44501,V ugm-3,17.50473,V ugm-3
11/01/2022,01:00:00,24.70581,V ugm-3,15.56524,V ugm-3,17.93311,V ugm-3
11/01/2022,02:00:00,16.84746,V ugm-3,12.57725,V ugm-3,17.22977,V ugm-3
11/01/2022,03:00:00,23.83919,V ugm-3,12.06688,V ugm-3,13.92448,V ugm-3
11/01/2022,04:00:00,26.7169,V ugm-3,21.17942,V ugm-3,11.1817,V ugm-3
11/01/2022,05:00:00,30.47964,V ugm-3,24.59461,V ugm-3,19.04067,V ugm-3
11/01/2022,06:00:00,45.08345,V ugm-3,15.33647,V ugm-3,28.69334,V ugm-3
11/01/2022,07:00:00,95.41983,V ugm-3,29.96414,V ugm-3,47.47236,V ugm-3
11/01/2022,08:00:00,73.7482,V ugm-3,40.181,V ugm-3,58.86579,V ugm-3
11/01/2022,09:00:00,91.77241,V ugm-3,43.97705,V ugm-3,62.08677,V ugm-3
11/01/2022,10:00:00,72.31397,V ugm-3,35.40187,V ugm-3,56.75752,V ugm-3
11/01/2022,11:00:00,47.34174,V ugm-3,21.96799,V ugm-3,44.14871,V ugm-3
11/01/2022,12:00:00,No data,V ugm-3,20.34948,V ugm-3,34.75955,V ugm-3
11/01/2022,13:00:00,62.7896,V ugm-3,17.15274,V ugm-3,30.53962,V ugm-3
11/01/2022,14:00:00,73.67659,V ugm-3,17.05554,V ugm-3,31.85812,V ugm-3
11/01/2022,15:00:00,58.54177,V ugm-3,21.86505,V ugm-3,32.33258,V ugm-3
11/01/2022,16:00:00,89.98988,V ugm-3,34.72525,V ugm-3,48.73667,V ugm-3
11/01/2022,17:00:00,116.22063,V ugm-3,44.16392,V ugm-3,71.05493,V ugm-3
11/01/2022,18:00:00,106.08586,V ugm-3,63.39298,V ugm-3,84.77919,V ugm-3
11/01/2022,19:00:00,115.04211,V ugm-3,74.45556,V ugm-3,86.67648,V ugm-3
11/01/2022,20:00:00,91.7746,V ugm-3,68.25202,V ugm-3,84.1497,V ugm-3
11/01/2022,21:00:00,74.8372,V ugm-3,67.58808,V ugm-3,65.25248,V ugm-3
11/01/2022,22:00:00,75.32801,V ugm-3,70.85455,V ugm-3,63.24923,V ugm-3
11/01/2022,23:00:00,82.42961,V ugm-3,68.62642,V ugm-3,65.10191,V ugm-3
11/01/2022,24:00:00,74.17917,V ugm-3,64.45389,V ugm-3,48.42767,V ugm-3
12/01/2022,01:00:00,64.0492,V ugm-3,54.63783,V ugm-3,40.94964,V ugm-3
12/01/2022,02:00:00,36.75368,V ugm-3,55.02285,V ugm-3,38.41691,V ugm-3
12/01/2022,03:00:00,37.96882,V ugm-3,42.47013,V ugm-3,36.88578,V ugm-3
12/01/2022,04:00:00,40.98181,V ugm-3,44.66838,V ugm-3,36.1474,V ugm-3
12/01/2022,05:00:00,40.80536,V ugm-3,36.31749,V ugm-3,37.78605,V ugm-3
12/01/2022,06:00:00,50.42339,V ugm-3,49.494,V ugm-3,39.73927,V ugm-3
12/01/2022,07:00:00,76.94832,V ugm-3,53.35954,V ugm-3,41.58543,V ugm-3
12/01/2022,08:00:00,117.6271,V ugm-3,64.73819,V ugm-3,48.07934,V ugm-3
12/01/2022,09:00:00,116.98093,V ugm-3,66.83217,V ugm-3,71.04883,V ugm-3
12/01/2022,10:00:00,106.91283,V ugm-3,68.7338,V ugm-3,59.27498,V ugm-3
12/01/2022,11:00:00,99.16281,V ugm-3,No data,V ugm-3,60.75402,V ugm-3
12/01/2022,12:00:00,44.25134,V ugm-3,13.66991,V ugm-3,63.54092,V ugm-3
12/01/2022,13:00:00,33.58592,V ugm-3,11.01012,V ugm-3,70.60222,V ugm-3
12/01/2022,14:00:00,39.85926,V ugm-3,9.15209,V ugm-3,38.20272,V ugm-3
